SMILES,SMILES_state,NLL
COc1nnc(-c2c(-c3ccc(F)cc3)nn(CCn3ccnc3)c2C)o1,1,35.22
Cc1c(CN2CCN(C(=O)Nc3cccc(Cl)c3)CC2)sc2ccc(Cl)cc12,1,26.34
CCC1COc2c(F)cccc2N1C(=O)CN1CCN(Cc2ncc(Cl)n2C)CC1,1,35.09
CCc1nc2[nH]c(C)cc(=NC(=O)CN=c3[nH]cccc3Br)n2n1,1,37.31
OCC1(Cc2cccc(F)c2)CCCN(Cc2cnc(=NC3CC3)[nH]c2)C1,1,24.31
COc1ccc2oc(C(=O)NC3(C(=O)NCC#N)CCCCC3)c(C)c2c1,1,23.57
CC(C)Oc1ccc(CSc2nc(C3CC3)nc3c2c(=O)n(C)c(=O)n3C)cc1,1,26.57
CON=C(C(=O)OC)c1ccccc1CSc1nc(C)cc(Oc2ccccc2CO)n1,1,32.58
O=C(NCCc1ccccc1)C(=O)N1c2ccccc2NC=NC1Cc1c[nH]c2ccccc12,1,41.19
NC1=NC(c2cc(NC(=O)c3cnc(OCC(F)(F)F)cn3)ccc2F)(C(F)F)C2CC2O1,1,20.88
O=C(NCCc1ccccc1)Nc1ccc2[nH]c(=O)[nH]c2c1,1,21.05
Cc1nn(-c2ccc(N3CCOCC3C)cn2)c(C)c1CCC(=O)O,1,29.16
Cc1cc(C)nc(SCc2nc(-c3ccc(OC(F)(F)F)cc3)cn2C)n1,1,26.23
COc1ccc(C2Nc3ccc(C)cc3-c3cc(C)nn32)c(OC)c1OC,1,27.39
Cc1cccc(Oc2ccc(C=NNC(=N)N)cc2)c1,1,23.54
CCn1ncc(-n2cnnn2)c1C=O,1,29.08
Cc1ccc2c(C(C)C)c(-c3ccc(S(C)(=O)=O)cc3)sc2c1,1,24.89
Fc1ccc(Cl)cc1N=c1[nH]c2cc(-c3nc[nH]n3)ccc2c2sccc12,1,26.62
Cc1cc(C)c(-c2nn(CCNS(=O)(=O)c3ccc(N)cc3)c(=O)[nH]2)c(C)c1,1,33.39
CCOc1ccc2[nH]c(=NC(=O)CN3COc4ccccc4C3=O)sc2c1,1,29.57
Cc1ccc(OCCCCCCCCCCN2C(=O)c3ccccc3C2=O)cc1,1,21.62
CC(C)Cc1cccc(-c2nc3cc(C(O)(c4ccc(-c5ccncc5)cc4)c4ccc(C(C)(C)C)cc4)ccc3[nH]2)c1,1,45.04
Cc1ccc2[nH]c(CSc3nc4nc(C)cc(C)n4n3)cc(=O)c2c1,1,24.36
Cc1ccc(C(C)C)c(OCC(=O)Nc2ccc3c(=O)n(CC(C)C)n(C)c(=O)c3c2)c1,1,33.28
CCC1(CC)C(=O)CC(=NCCCN(C)C)c2c1oc1ccc([N+](=O)[O-])cc1c2=O,1,29.51
CC(C)CCn1ccc(-c2ccc3ncnc(-c4cnc(=N)[nH]c4)c3c2)n1,1,34.73
COc1ccccc1OCC1CCCCN1C(=S)NCc1ncccc1OC,1,33.36
CN(Cc1coc(-c2ccccc2Cl)n1)CC1OCCO1,1,22.17
O=C1CN(C2=C(Cl)C(=O)N(c3cccc(Cl)c3)C2=O)CCN1,1,22.22
Cc1nc(CN2CCC(CCC(=O)NC3CCC3)CC2)n2ccccc12,1,33.24
CC(C)(C)Nc1ccc2c(c1)C(C)(C)CCC2(C)C,1,22.46
CC(C)C(NC(=O)OCc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)CF,1,22.6
CC1(C=O)CCC2(C)C(=CC3CC2OC2(CCCCC2)O3)C1CO,1,38.46
O=c1cc(O)n(Cc2ccccc2)c(SCc2cccc(F)c2)n1,1,22.6
CC(C)Oc1n[nH]c2cc(=NC(=O)NC(C)(C)c3ccccc3)[nH]cc12,1,25.04
CS(=O)(=O)c1ccc(N2CCN(c3nc4ccccc4s3)CC2)cc1,1,24.15
O=C(O)c1c[nH]c2cc(OCc3cc(F)cc(F)c3)ccc2c1=O,1,24.12
CCCCCCN(CCCCCC)CC(O)c1cc(-c2ccccn2)nc2ccc(OC)cc12,1,25.55
CN1CCCCC1=NCc1cn(Cc2ccc(Cl)c(Cl)c2)nn1,1,27.36
Cc1ccc(C(=N)N)cc1,1,16.62
